NERC_ID,start_date,end_date,duration,centroid_date,highest_temperature
California,1980-07-23,1980-08-02,11,1980-07-28,307.534362145159
California,1980-08-10,1980-08-11,2,1980-08-10,305.580056051372
California,1980-09-30,1980-10-03,4,1980-10-01,306.985549618788
California,1981-08-06,1981-08-09,4,1981-08-07,306.850783617971
California,1981-08-27,1981-08-28,2,1981-08-27,306.33926680568
California,1982-08-07,1982-08-07,1,1982-08-07,305.426859629397
California,1982-08-21,1982-08-22,2,1982-08-21,306.17669958879
California,1982-09-02,1982-09-03,2,1982-09-02,305.901432329147
California,1983-07-12,1983-07-13,2,1983-07-12,306.199978949222
California,1983-08-05,1983-08-07,3,1983-08-06,307.413874672729
California,1983-09-11,1983-09-13,3,1983-09-12,306.166575889805
California,1984-05-28,1984-05-29,2,1984-05-28,306.091695934426
California,1984-07-02,1984-07-06,5,1984-07-04,306.50034681227
California,1984-07-12,1984-07-16,5,1984-07-14,306.936457721638
California,1984-08-07,1984-08-09,3,1984-08-08,306.651437065038
California,1984-09-04,1984-09-05,2,1984-09-04,305.867768711944
California,1984-09-08,1984-09-09,2,1984-09-08,305.735874860457
California,1984-09-17,1984-09-18,2,1984-09-17,306.345934254956
California,1985-07-01,1985-07-12,12,1985-07-06,307.378163129489
California,1985-08-24,1985-08-25,2,1985-08-24,305.966082552326
California,1987-08-02,1987-08-04,3,1987-08-03,305.531194526141
California,1987-09-01,1987-09-02,2,1987-09-01,305.73602059156
California,1987-10-04,1987-10-05,2,1987-10-04,306.083832853667
California,1988-07-16,1988-07-25,10,1988-07-20,307.661130252039
California,1988-09-02,1988-09-06,5,1988-09-04,308.860327775087
California,1989-07-05,1989-07-08,4,1989-07-06,307.915535758484
California,1989-07-19,1989-07-20,2,1989-07-19,305.947137209948
California,1990-07-11,1990-07-14,4,1990-07-12,307.275593271602
California,1990-08-05,1990-08-11,7,1990-08-08,307.268601730345
California,1991-07-02,1991-07-05,4,1991-07-03,306.54204633372
California,1992-08-10,1992-08-19,10,1992-08-14,306.652297021439
California,1993-06-25,1993-06-25,1,1993-06-25,305.651183790523
California,1993-07-31,1993-08-03,4,1993-08-01,307.481276001209
California,1994-06-28,1994-06-28,1,1994-06-28,305.420924837373
California,1994-08-13,1994-08-16,4,1994-08-14,306.290765870081
California,1995-07-27,1995-08-02,7,1995-07-30,306.651558546769
California,1996-07-01,1996-07-02,2,1996-07-01,305.756627073893
California,1996-07-25,1996-07-25,1,1996-07-25,305.310449196869
California,1996-07-30,1996-07-31,2,1996-07-30,306.06330013857
California,1996-08-09,1996-08-15,7,1996-08-12,307.51835951336
California,1996-08-29,1996-08-31,3,1996-08-30,306.421836775251
California,1997-08-04,1997-08-08,5,1997-08-06,308.324875638302
California,1998-07-16,1998-07-18,3,1998-07-17,306.670406216623
California,1998-07-27,1998-07-27,1,1998-07-27,305.938397314264
California,1998-08-03,1998-08-06,4,1998-08-04,308.229639218206
California,1998-08-12,1998-08-13,2,1998-08-12,305.874553912214
California,1998-08-28,1998-09-03,7,1998-08-31,307.143621759544
California,1999-07-11,1999-07-12,2,1999-07-11,306.289103619857
California,1999-08-25,1999-08-26,2,1999-08-25,305.646034744213
California,2000-06-14,2000-06-15,2,2000-06-14,305.827482175327
California,2000-07-31,2000-08-01,2,2000-07-31,305.797232583097
California,2001-07-02,2001-07-04,3,2001-07-03,306.94302411256
California,2002-07-09,2002-07-12,4,2002-07-10,307.368295291816
