NERC_ID,start_date,end_date,duration,centroid_date,lowest_temperature
California,1980-01-19,1980-01-20,2,1980-01-19,274.284594031381
California,1980-12-06,1980-12-08,3,1980-12-07,274.107265140604
California,1981-01-31,1981-01-31,1,1981-01-31,274.470391379906
California,1982-01-02,1982-01-03,2,1982-01-02,274.299252530668
California,1982-01-06,1982-01-08,3,1982-01-07,273.108038962417
California,1982-01-21,1982-01-23,3,1982-01-22,273.576188523951
California,1982-02-05,1982-02-05,1,1982-02-05,274.753195038244
California,1982-03-19,1982-03-20,2,1982-03-19,274.874393599788
California,1982-12-24,1982-12-25,2,1982-12-24,274.578220498074
California,1982-12-30,1982-12-31,2,1982-12-30,274.655142003652
California,1983-12-22,1983-12-22,1,1983-12-22,274.830610369919
California,1984-01-15,1984-01-15,1,1984-01-15,274.694355450693
California,1984-01-18,1984-01-19,2,1984-01-18,274.67872046925
California,1984-12-14,1984-12-22,9,1984-12-18,272.908071222648
California,1985-01-28,1985-02-06,10,1985-02-01,272.120766447388
California,1985-03-03,1985-03-04,2,1985-03-03,274.358436085833
California,1985-11-12,1985-11-14,3,1985-11-13,272.688640748276
California,1985-11-19,1985-11-20,2,1985-11-19,274.630369831477
California,1985-12-10,1985-12-13,4,1985-12-11,273.3242669962
California,1986-02-07,1986-02-10,4,1986-02-08,273.98565848352
California,1987-01-07,1987-01-09,3,1987-01-08,274.362918492412
California,1987-01-15,1987-01-19,5,1987-01-17,271.815030798486
California,1987-02-23,1987-02-27,5,1987-02-25,272.789075628251
California,1987-03-21,1987-03-21,1,1987-03-21,274.805095501256
California,1987-12-13,1987-12-16,4,1987-12-14,273.150342532969
California,1987-12-23,1988-01-01,10,1987-12-27,271.634606746925
California,1988-01-18,1988-01-20,3,1988-01-19,273.858105139251
California,1988-02-01,1988-02-02,2,1988-02-01,274.625279987505
California,1988-12-22,1989-01-01,11,1988-12-27,270.512820205627
California,1989-01-06,1989-01-09,4,1989-01-07,272.072031979872
California,1989-01-12,1989-01-15,4,1989-01-13,273.995896666744
California,1989-02-03,1989-02-09,7,1989-02-06,268.171026244738
California,1989-02-12,1989-02-15,4,1989-02-13,273.250736841293
California,1990-01-17,1990-01-20,4,1990-01-18,274.053827849242
California,1990-02-06,1990-02-08,3,1990-02-07,274.551623169061
California,1990-02-13,1990-02-20,8,1990-02-16,270.524190240598
California,1990-03-12,1990-03-13,2,1990-03-12,274.011255878393
California,1990-12-15,1990-12-17,3,1990-12-16,274.249847630272
California,1990-12-19,1990-12-31,13,1990-12-25,265.680708734718
California,1991-03-15,1991-03-15,1,1991-03-15,274.645541809125
California,1992-12-18,1992-12-20,3,1992-12-19,273.371436523864
California,1993-01-02,1993-01-05,4,1993-01-03,272.81744520384
California,1993-01-11,1993-01-12,2,1993-01-11,274.338820595535
California,1993-02-26,1993-02-26,1,1993-02-26,274.961897918097
California,1994-11-18,1994-11-19,2,1994-11-18,274.059657186179
California,1994-12-08,1994-12-08,1,1994-12-08,274.966092511905
California,1995-03-25,1995-03-25,1,1995-03-25,274.615087854192
California,1996-01-23,1996-01-23,1,1996-01-23,274.896008902523
California,1996-02-25,1996-02-28,4,1996-02-26,272.480179676448
California,1997-01-13,1997-01-15,3,1997-01-14,273.359646078556
California,1997-12-25,1997-12-25,1,1997-12-25,274.903338244141
California,1998-12-05,1998-12-07,3,1998-12-06,273.789131465288
California,1998-12-20,1998-12-24,5,1998-12-22,270.28192100957
California,1999-01-26,1999-01-28,3,1999-01-27,274.482873410701
California,1999-02-10,1999-02-11,2,1999-02-10,273.742259135129
California,1999-03-11,1999-03-11,1,1999-03-11,274.708218915612
California,1999-04-09,1999-04-10,2,1999-04-09,274.52640153641
California,2000-11-11,2000-11-13,3,2000-11-12,274.577974917432
California,2001-01-14,2001-01-17,4,2001-01-15,273.14484388804
California,2001-01-26,2001-01-30,5,2001-01-28,274.40785361883
California,2001-02-08,2001-02-09,2,2001-02-08,273.988718831766
California,2001-02-12,2001-02-15,4,2001-02-13,273.919087336176
California,2001-04-09,2001-04-09,1,2001-04-09,274.876107002073
California,2002-01-17,2002-01-17,1,2002-01-17,274.838759005133
California,2002-01-22,2002-01-23,2,2002-01-22,273.959366080375
California,2002-01-28,2002-02-02,6,2002-01-30,271.604680666083
California,2002-03-15,2002-03-18,4,2002-03-16,273.802456750809
California,2002-12-23,2002-12-25,3,2002-12-24,274.079714757602
California,2003-12-27,2003-12-28,2,2003-12-27,273.725631439585
California,2004-01-03,2004-01-05,3,2004-01-04,273.820969447712
California,2004-11-29,2004-12-01,3,2004-11-30,274.44109810185
California,2005-01-05,2005-01-05,1,2005-01-05,274.789009983558
California,2006-02-16,2006-02-21,6,2006-02-18,273.443251138889
California,2006-03-11,2006-03-13,3,2006-03-12,273.337903452035
California,2006-11-29,2006-11-29,1,2006-11-29,274.890159490399
California,2006-12-17,2006-12-19,3,2006-12-18,273.683719879624
California,2007-01-12,2007-01-18,7,2007-01-15,270.562050559643
California,2007-02-28,2007-03-01,2,2007-02-28,274.038466016305
California,2007-12-27,2007-12-28,2,2007-12-27,274.058151686813
California,2008-01-29,2008-02-01,4,2008-01-30,273.838545959826
California,2008-02-03,2008-02-05,3,2008-02-04,274.487860925916
California,2008-12-15,2008-12-19,5,2008-12-17,273.02725254742
California,2008-12-26,2008-12-27,2,2008-12-26,274.059440684419
California,2009-01-04,2009-01-04,1,2009-01-04,274.607118153057
California,2009-01-27,2009-01-27,1,2009-01-27,274.906397737514
California,2009-02-10,2009-02-11,2,2009-02-10,274.454367381986
California,2009-02-13,2009-02-13,1,2009-02-13,274.836904661835
California,2009-12-07,2009-12-10,4,2009-12-08,271.619021831909
California,2010-11-24,2010-11-25,2,2010-11-24,273.852122332992
California,2010-11-29,2010-11-29,1,2010-11-29,274.683532538045
California,2010-12-30,2011-01-02,4,2010-12-31,272.875745089479
California,2011-01-09,2011-01-10,2,2011-01-09,274.865786070091
California,2011-02-20,2011-02-23,4,2011-02-21,273.59903983273
California,2011-02-25,2011-02-28,4,2011-02-26,272.688890550735
California,2012-01-17,2012-01-17,1,2012-01-17,274.316129329005
California,2012-02-29,2012-02-29,1,2012-02-29,274.9418521786
California,2012-03-19,2012-03-19,1,2012-03-19,274.804202352556
California,2012-12-28,2013-01-02,6,2012-12-30,273.274288869826
California,2013-01-11,2013-01-15,5,2013-01-13,270.918593265361
California,2013-02-09,2013-02-11,3,2013-02-10,274.191321069781
California,2013-02-20,2013-02-21,2,2013-02-20,274.188031978887
California,2013-12-05,2013-12-10,6,2013-12-07,271.25407207161
California,2014-02-03,2014-02-04,2,2014-02-03,274.746922941866
California,2014-12-30,2015-01-02,4,2014-12-31,273.571076639647
California,2015-11-27,2015-11-29,3,2015-11-28,274.286358578336
California,2015-12-15,2015-12-16,2,2015-12-15,274.102841211239
California,2015-12-25,2016-01-01,8,2015-12-28,273.547883967296
California,2016-02-02,2016-02-02,1,2016-02-02,274.248833974613
California,2016-12-18,2016-12-18,1,2016-12-18,274.107682937044
California,2016-12-25,2016-12-26,2,2016-12-25,273.953389723042
California,2017-01-24,2017-01-26,3,2017-01-25,273.763569084969
California,2017-02-23,2017-02-27,5,2017-02-25,274.010421349796
California,2018-02-20,2018-02-28,9,2018-02-24,272.527622876548
California,2019-02-06,2019-02-08,3,2019-02-07,273.316512597044
California,2019-02-10,2019-02-11,2,2019-02-10,274.5136124364
California,2019-02-17,2019-02-23,7,2019-02-20,273.45335566355
California,2019-11-29,2019-11-30,2,2019-11-29,274.217288112182
California,2020-02-04,2020-02-04,1,2020-02-04,274.067189879597
California,2021-01-25,2021-01-26,2,2021-01-25,273.988255723678
California,2022-01-02,2022-01-02,1,2022-01-02,274.813506406469
California,2022-02-22,2022-02-25,4,2022-02-23,272.900580849228
California,2022-12-13,2022-12-14,2,2022-12-13,274.584827054151
California,2023-01-30,2023-01-31,2,2023-01-30,274.937354701261
California,2023-02-15,2023-02-16,2,2023-02-15,274.411154361808
California,2023-02-23,2023-03-03,9,2023-02-27,273.516551036846
California,2023-03-06,2023-03-08,3,2023-03-07,274.243667469477
California,2023-03-25,2023-03-26,2,2023-03-25,274.651362037253
California,2024-01-08,2024-01-08,1,2024-01-08,274.946002219554
ERCOT,1980-02-10,1980-02-11,2,1980-02-10,270.429592228002
ERCOT,1980-02-17,1980-02-17,1,1980-02-17,271.281215058326
ERCOT,1980-03-02,1980-03-02,1,1980-03-02,268.358398254135
ERCOT,1980-11-18,1980-11-19,2,1980-11-18,271.16123497726
ERCOT,1980-12-21,1980-12-21,1,1980-12-21,271.435996250783
ERCOT,1981-02-11,1981-02-12,2,1981-02-11,268.879530998751
ERCOT,1982-01-08,1982-01-17,10,1982-01-12,264.979800714117
ERCOT,1982-02-04,1982-02-07,4,1982-02-05,269.25395030823
ERCOT,1983-12-18,1984-01-01,15,1983-12-25,260.317318168166
ERCOT,1984-01-18,1984-01-22,5,1984-01-20,267.817160840448
ERCOT,1985-01-02,1985-01-04,3,1985-01-03,269.714541298765
ERCOT,1985-01-12,1985-01-14,3,1985-01-13,269.199912622406
ERCOT,1985-01-19,1985-01-22,4,1985-01-20,265.69179149867
ERCOT,1985-01-31,1985-02-04,5,1985-02-02,264.027355278271
ERCOT,1985-12-02,1985-12-03,2,1985-12-02,270.935090938974
ERCOT,1985-12-12,1985-12-15,4,1985-12-13,268.306791447015
ERCOT,1986-01-09,1986-01-09,1,1986-01-09,271.027174942837
ERCOT,1986-02-11,1986-02-12,2,1986-02-11,270.256731573568
ERCOT,1987-01-19,1987-01-22,4,1987-01-20,269.57970043873
ERCOT,1987-03-30,1987-03-30,1,1987-03-30,271.410371827418
ERCOT,1987-12-15,1987-12-16,2,1987-12-15,269.383367059752
ERCOT,1987-12-27,1987-12-29,3,1987-12-28,269.83340494149
ERCOT,1988-01-07,1988-01-11,5,1988-01-09,268.261329854789
ERCOT,1988-02-06,1988-02-07,2,1988-02-06,270.61967836888
ERCOT,1988-02-11,1988-02-12,2,1988-02-11,270.612236874596
ERCOT,1989-02-04,1989-02-09,6,1989-02-06,265.215412025931
ERCOT,1989-03-05,1989-03-08,4,1989-03-06,266.997332933993
ERCOT,1989-12-11,1989-12-25,15,1989-12-18,259.052932272733
ERCOT,1990-12-23,1990-12-25,3,1990-12-24,267.794756725627
ERCOT,1991-11-03,1991-11-03,1,1991-11-03,271.536859475008
ERCOT,1992-01-15,1992-01-16,2,1992-01-15,271.162270582983
ERCOT,1993-11-26,1993-11-27,2,1993-11-26,270.172239378457
ERCOT,1993-12-24,1993-12-24,1,1993-12-24,271.463702698027
ERCOT,1994-01-08,1994-01-08,1,1994-01-08,270.830693709487
ERCOT,1994-01-18,1994-01-19,2,1994-01-18,269.722139884845
ERCOT,1994-01-30,1994-02-02,4,1994-01-31,268.997428087642
ERCOT,1994-02-10,1994-02-11,2,1994-02-10,268.543976990405
ERCOT,1995-12-10,1995-12-10,1,1995-12-10,269.472163296598
ERCOT,1996-01-03,1996-01-03,1,1996-01-03,271.531472938302
ERCOT,1996-01-06,1996-01-08,3,1996-01-07,268.155055271641
ERCOT,1996-01-19,1996-01-20,2,1996-01-19,269.347267887905
