UID,NERC,Region,Start,End,Center,Center_DOY,T_Max_Min,Duration,Regions_Impacted
CS_NERC1_Event1,1,CA,1980-01-19,1980-01-20,1980-01-19,19,34.31,2,2.0
CS_NERC1_Event2,1,CA,1980-12-06,1980-12-08,1980-12-07,342,33.99,3,2.0
CS_NERC1_Event3,1,CA,1981-01-31,1981-01-31,1981-01-31,31,34.65,1,2.0
CS_NERC1_Event4,1,CA,1982-01-02,1982-01-03,1982-01-02,2,34.34,2,3.0
CS_NERC1_Event5,1,CA,1982-01-06,1982-01-08,1982-01-07,7,32.19,3,4.0
CS_NERC1_Event6,1,CA,1982-01-21,1982-01-23,1982-01-22,22,33.04,3,8.0
CS_NERC1_Event7,1,CA,1982-02-05,1982-02-05,1982-02-05,36,35.16,1,10.0
CS_NERC1_Event8,1,CA,1982-03-19,1982-03-20,1982-03-19,78,35.37,2,1.0
CS_NERC1_Event9,1,CA,1982-12-24,1982-12-25,1982-12-24,358,34.84,2,1.0
CS_NERC1_Event10,1,CA,1982-12-30,1982-12-31,1982-12-30,364,34.98,2,5.0
CS_NERC1_Event11,1,CA,1983-12-22,1983-12-22,1983-12-22,356,35.3,1,9.0
CS_NERC1_Event12,1,CA,1984-01-15,1984-01-15,1984-01-15,15,35.05,1,5.0
CS_NERC1_Event13,1,CA,1984-01-18,1984-01-19,1984-01-18,18,35.02,2,12.0
CS_NERC1_Event14,1,CA,1984-12-14,1984-12-22,1984-12-18,353,31.83,9,2.0
CS_NERC1_Event15,1,CA,1985-01-28,1985-02-06,1985-02-01,32,30.42,10,10.0
CS_NERC1_Event16,1,CA,1985-03-03,1985-03-04,1985-03-03,62,34.45,2,1.0
CS_NERC1_Event17,1,CA,1985-11-12,1985-11-14,1985-11-13,317,31.44,3,2.0
CS_NERC1_Event18,1,CA,1985-11-19,1985-11-20,1985-11-19,323,34.93,2,3.0
CS_NERC1_Event19,1,CA,1985-12-10,1985-12-13,1985-12-11,345,32.58,4,8.0
CS_NERC1_Event20,1,CA,1986-02-07,1986-02-10,1986-02-08,39,33.77,4,4.0
CS_NERC1_Event21,1,CA,1987-01-07,1987-01-09,1987-01-08,8,34.45,3,2.0
CS_NERC1_Event22,1,CA,1987-01-15,1987-01-19,1987-01-17,17,29.87,5,6.0
CS_NERC1_Event23,1,CA,1987-02-23,1987-02-27,1987-02-25,56,31.62,5,1.0
CS_NERC1_Event24,1,CA,1987-03-21,1987-03-21,1987-03-21,80,35.25,1,1.0
CS_NERC1_Event25,1,CA,1987-12-13,1987-12-16,1987-12-14,348,32.27,4,6.0
CS_NERC1_Event26,1,CA,1987-12-23,1988-01-01,1987-12-27,361,29.54,10,6.0
CS_NERC1_Event27,1,CA,1988-01-18,1988-01-20,1988-01-19,19,33.54,3,4.0
CS_NERC1_Event28,1,CA,1988-02-01,1988-02-02,1988-02-01,32,34.93,2,3.0
CS_NERC1_Event29,1,CA,1988-12-22,1989-01-01,1988-12-27,362,27.52,11,5.0
CS_NERC1_Event30,1,CA,1989-01-06,1989-01-09,1989-01-07,7,30.33,4,7.0
CS_NERC1_Event31,1,CA,1989-01-12,1989-01-15,1989-01-13,13,33.79,4,4.0
CS_NERC1_Event32,1,CA,1989-02-03,1989-02-09,1989-02-06,37,23.31,7,10.0
CS_NERC1_Event33,1,CA,1989-02-12,1989-02-15,1989-02-13,44,32.45,4,3.0
CS_NERC1_Event34,1,CA,1990-01-17,1990-01-20,1990-01-18,18,33.9,4,2.0
CS_NERC1_Event35,1,CA,1990-02-06,1990-02-08,1990-02-07,38,34.79,3,1.0
CS_NERC1_Event36,1,CA,1990-02-13,1990-02-20,1990-02-16,47,27.54,8,5.0
CS_NERC1_Event37,1,CA,1990-03-12,1990-03-13,1990-03-12,71,33.82,2,1.0
CS_NERC1_Event38,1,CA,1990-12-15,1990-12-17,1990-12-16,350,34.25,3,1.0
CS_NERC1_Event39,1,CA,1990-12-19,1990-12-31,1990-12-25,359,18.83,13,9.0
CS_NERC1_Event40,1,CA,1991-03-15,1991-03-15,1991-03-15,74,34.96,1,1.0
CS_NERC1_Event41,1,CA,1992-12-18,1992-12-20,1992-12-19,354,32.67,3,4.0
CS_NERC1_Event42,1,CA,1993-01-02,1993-01-05,1993-01-03,3,31.67,4,3.0
CS_NERC1_Event43,1,CA,1993-01-11,1993-01-12,1993-01-11,11,34.41,2,4.0
CS_NERC1_Event44,1,CA,1993-02-26,1993-02-26,1993-02-26,57,35.53,1,7.0
CS_NERC1_Event45,1,CA,1994-11-18,1994-11-19,1994-11-18,322,33.91,2,1.0
CS_NERC1_Event46,1,CA,1994-12-08,1994-12-08,1994-12-08,342,35.54,1,2.0
CS_NERC1_Event47,1,CA,1995-03-25,1995-03-25,1995-03-25,84,34.91,1,1.0
CS_NERC1_Event48,1,CA,1996-01-23,1996-01-23,1996-01-23,23,35.41,1,2.0
CS_NERC1_Event49,1,CA,1996-02-25,1996-02-28,1996-02-26,57,31.06,4,4.0
CS_NERC1_Event50,1,CA,1997-01-13,1997-01-15,1997-01-14,14,32.65,3,12.0
CS_NERC1_Event51,1,CA,1997-12-25,1997-12-25,1997-12-25,359,35.43,1,2.0
CS_NERC1_Event52,1,CA,1998-12-05,1998-12-07,1998-12-06,340,33.42,3,2.0
CS_NERC1_Event53,1,CA,1998-12-20,1998-12-24,1998-12-22,356,27.11,5,9.0
CS_NERC1_Event54,1,CA,1999-01-26,1999-01-28,1999-01-27,27,34.67,3,1.0
CS_NERC1_Event55,1,CA,1999-02-10,1999-02-11,1999-02-10,41,33.34,2,1.0
CS_NERC1_Event56,1,CA,1999-03-11,1999-03-11,1999-03-11,70,35.07,1,1.0
