UID,NERC,Region,Start,End,Center,Center_DOY,T_Max_Min,Duration,Regions_Impacted
HW_NERC1_Event1,1,CA,1980-07-23,1980-08-02,1980-07-28,210,94.16,11,5.0
HW_NERC1_Event2,1,CA,1980-08-10,1980-08-11,1980-08-10,223,90.64,2,3.0
HW_NERC1_Event3,1,CA,1980-09-30,1980-10-03,1980-10-01,275,93.17,4,1.0
HW_NERC1_Event4,1,CA,1981-08-06,1981-08-09,1981-08-07,219,92.93,4,2.0
HW_NERC1_Event5,1,CA,1981-08-27,1981-08-28,1981-08-27,239,92.01,2,1.0
HW_NERC1_Event6,1,CA,1982-08-07,1982-08-07,1982-08-07,219,90.37,1,2.0
HW_NERC1_Event7,1,CA,1982-08-21,1982-08-22,1982-08-21,233,91.72,2,2.0
HW_NERC1_Event8,1,CA,1982-09-02,1982-09-03,1982-09-02,245,91.22,2,1.0
HW_NERC1_Event9,1,CA,1983-07-12,1983-07-13,1983-07-12,193,91.76,2,1.0
HW_NERC1_Event10,1,CA,1983-08-05,1983-08-07,1983-08-06,218,93.94,3,6.0
HW_NERC1_Event11,1,CA,1983-09-11,1983-09-13,1983-09-12,255,91.7,3,2.0
HW_NERC1_Event12,1,CA,1984-05-28,1984-05-29,1984-05-28,149,91.57,2,1.0
HW_NERC1_Event13,1,CA,1984-07-02,1984-07-06,1984-07-04,186,92.3,5,2.0
HW_NERC1_Event14,1,CA,1984-07-12,1984-07-16,1984-07-14,196,93.09,5,4.0
HW_NERC1_Event15,1,CA,1984-08-07,1984-08-09,1984-08-08,221,92.57,3,3.0
HW_NERC1_Event16,1,CA,1984-09-04,1984-09-05,1984-09-04,248,91.16,2,1.0
HW_NERC1_Event17,1,CA,1984-09-08,1984-09-09,1984-09-08,252,90.92,2,1.0
HW_NERC1_Event18,1,CA,1984-09-17,1984-09-18,1984-09-17,261,92.02,2,1.0
HW_NERC1_Event19,1,CA,1985-07-01,1985-07-12,1985-07-06,187,93.88,12,7.0
HW_NERC1_Event20,1,CA,1985-08-24,1985-08-25,1985-08-24,236,91.34,2,1.0
HW_NERC1_Event21,1,CA,1987-08-02,1987-08-04,1987-08-03,215,90.56,3,4.0
HW_NERC1_Event22,1,CA,1987-09-01,1987-09-02,1987-09-01,244,90.92,2,3.0
HW_NERC1_Event23,1,CA,1987-10-04,1987-10-05,1987-10-04,277,91.55,2,1.0
HW_NERC1_Event24,1,CA,1988-07-16,1988-07-25,1988-07-20,202,94.39,10,2.0
HW_NERC1_Event25,1,CA,1988-09-02,1988-09-06,1988-09-04,248,96.55,5,2.0
HW_NERC1_Event26,1,CA,1989-07-05,1989-07-08,1989-07-06,187,94.85,4,7.0
HW_NERC1_Event27,1,CA,1989-07-19,1989-07-20,1989-07-19,200,91.3,2,3.0
HW_NERC1_Event28,1,CA,1990-07-11,1990-07-14,1990-07-12,193,93.7,4,2.0
HW_NERC1_Event29,1,CA,1990-08-05,1990-08-11,1990-08-08,220,93.68,7,3.0
HW_NERC1_Event30,1,CA,1991-07-02,1991-07-05,1991-07-03,184,92.38,4,2.0
HW_NERC1_Event31,1,CA,1992-08-10,1992-08-19,1992-08-14,227,92.57,10,3.0
HW_NERC1_Event32,1,CA,1993-06-25,1993-06-25,1993-06-25,176,90.77,1,2.0
HW_NERC1_Event33,1,CA,1993-07-31,1993-08-03,1993-08-01,213,94.07,4,5.0
HW_NERC1_Event34,1,CA,1994-06-28,1994-06-28,1994-06-28,179,90.36,1,5.0
HW_NERC1_Event35,1,CA,1994-08-13,1994-08-16,1994-08-14,226,91.92,4,1.0
HW_NERC1_Event36,1,CA,1995-07-27,1995-08-02,1995-07-30,211,92.57,7,9.0
HW_NERC1_Event37,1,CA,1996-07-01,1996-07-02,1996-07-01,183,90.96,2,4.0
