number,short_name,long_name
1,WECC: AZ-NM-SNV,Western Electricity Coordinating Council
2,WECC: CA-MX,Western Electricity Coordinating Council
3,TRE,Texas Reliability Entity
4,FRCC,Florida Reliability Coordinating Council
5,NPCC: New England,Northeast Power Coordinating Council
6,WECC: NWPP,Western Electricity Coordinating Council
7,WECC: RMPA,Western Electricity Coordinating Council
8,SPP,Southwest Power Pool
9,SERC: Delta,Southeast Reliability Corporation
10,SERC: Southeastern,Southeast Reliability Corporation
11,SERC: Central,Southeast Reliability Corporation
12,SERC: VACAR,Southeast Reliability Corporation
15,NPCC: New York,Northeast Power and Coordinating Council
17,RFC,Reliability First Corporation
18,MRO,Midwest Reliability Organization
20,SERC: Gateway,Southeast Reliability Corporation
