gridview_ba,number,short_name,long_name
AVA,6,WECC: NWPP,Western Electricity Coordinating Council
AZPS,1,WECC: AZ-NM-SNV,Western Electricity Coordinating Council
BANC,2,WECC: CA-MX,Western Electricity Coordinating Council
BPAT,6,WECC: NWPP,Western Electricity Coordinating Council
CHPD,6,WECC: NWPP,Western Electricity Coordinating Council
CIPB,2,WECC: CA-MX,Western Electricity Coordinating Council
CIPV,2,WECC: CA-MX,Western Electricity Coordinating Council
CISC,2,WECC: CA-MX,Western Electricity Coordinating Council
CISD,2,WECC: CA-MX,Western Electricity Coordinating Council
DOPD,6,WECC: NWPP,Western Electricity Coordinating Council
EPE,1,WECC: AZ-NM-SNV,Western Electricity Coordinating Council
GCPD,6,WECC: NWPP,Western Electricity Coordinating Council
IID,1,WECC: AZ-NM-SNV,Western Electricity Coordinating Council
IPFE,6,WECC: NWPP,Western Electricity Coordinating Council
IPMV,6,WECC: NWPP,Western Electricity Coordinating Council
IPTV,6,WECC: NWPP,Western Electricity Coordinating Council
LDWP,2,WECC: CA-MX,Western Electricity Coordinating Council
NEVP,6,WECC: NWPP,Western Electricity Coordinating Council
NWMT,6,WECC: NWPP,Western Electricity Coordinating Council
PACW,6,WECC: NWPP,Western Electricity Coordinating Council
PAID,6,WECC: NWPP,Western Electricity Coordinating Council
PAUT,6,WECC: NWPP,Western Electricity Coordinating Council
PAWY,6,WECC: NWPP,Western Electricity Coordinating Council
PGE,6,WECC: NWPP,Western Electricity Coordinating Council
PNM,1,WECC: AZ-NM-SNV,Western Electricity Coordinating Council
PSCO,7,WECC: RMPA,Western Electricity Coordinating Council
PSEI,6,WECC: NWPP,Western Electricity Coordinating Council
SCL,6,WECC: NWPP,Western Electricity Coordinating Council
SPPC,6,WECC: NWPP,Western Electricity Coordinating Council
SRP,1,WECC: AZ-NM-SNV,Western Electricity Coordinating Council
TEPC,1,WECC: AZ-NM-SNV,Western Electricity Coordinating Council
TIDC,2,WECC: CA-MX,Western Electricity Coordinating Council
TPWR,6,WECC: NWPP,Western Electricity Coordinating Council
VEA,2,WECC: CA-MX,Western Electricity Coordinating Council
WACM,7,WECC: RMPA,Western Electricity Coordinating Council
WALC,1,WECC: AZ-NM-SNV,Western Electricity Coordinating Council
WAUW,6,WECC: NWPP,Western Electricity Coordinating Council

