Region,Date,T_Min,T_Mean,T_Max
CA,1980-01-01,47.43,51.47,56.8
CA,1980-01-02,41.88,47.89,57.35
CA,1980-01-03,43.34,48.38,56.84
CA,1980-01-04,42.6,47.63,55.79
CA,1980-01-05,43.85,48.36,55.37
CA,1980-01-06,45.44,48.75,53.32
CA,1980-01-07,42.53,46.62,52.11
CA,1980-01-08,41.06,45.42,51.52
CA,1980-01-09,43.14,46.0,50.42
CA,1980-01-10,42.48,46.32,50.04
CA,1980-01-11,41.59,45.86,52.83
CA,1980-01-12,49.32,52.47,56.3
CA,1980-01-13,52.59,54.61,57.6
CA,1980-01-14,50.92,52.92,55.59
CA,1980-01-15,44.97,48.28,53.14
CA,1980-01-16,46.45,48.57,51.92
CA,1980-01-17,44.74,47.92,51.54
CA,1980-01-18,35.95,42.22,49.99
CA,1980-01-19,31.62,37.11,47.34
CA,1980-01-20,34.56,40.02,49.99
CA,1980-01-21,38.66,44.1,54.8
CA,1980-01-22,41.33,46.86,56.32
CA,1980-01-23,42.45,48.14,58.69
CA,1980-01-24,43.23,49.22,59.35
CA,1980-01-25,42.87,48.91,57.82
CA,1980-01-26,38.24,44.68,53.63
CA,1980-01-27,37.07,42.0,50.01
CA,1980-01-28,38.58,41.44,46.93
CA,1980-01-29,36.05,40.19,45.07
CA,1980-01-30,32.87,38.68,50.23
CA,1980-01-31,38.92,44.26,55.36
CA,1980-02-01,41.42,47.73,58.41
CA,1980-02-02,46.34,51.76,61.69
CA,1980-02-03,47.8,52.85,60.74
CA,1980-02-04,46.65,53.18,63.76
CA,1980-02-05,49.17,54.84,63.74
CA,1980-02-06,48.46,54.05,61.27
CA,1980-02-07,42.4,48.6,57.54
CA,1980-02-08,39.73,46.4,55.52
CA,1980-02-09,40.21,46.42,56.63
CA,1980-02-10,41.04,47.19,55.99
CA,1980-02-11,40.58,46.68,55.15
CA,1980-02-12,39.66,45.87,54.73
CA,1980-02-13,40.29,45.68,54.56
CA,1980-02-14,45.06,47.53,53.68
CA,1980-02-15,45.68,48.83,53.96
CA,1980-02-16,47.63,50.11,54.07
CA,1980-02-17,49.37,52.05,55.48
