"NERC","date","T_mean","T_max","T_min"
"SPP-N",1980-01-01,269.076979683682,273.96040662546,266.048834873236
"Pacific Northwest",1980-01-01,275.761753202275,277.109249924278,274.581341454442
"Southwest",1980-01-01,280.504857441556,286.832285331211,276.47810851072
"SPP-S",1980-01-01,274.303910018395,281.401910403311,270.108405521194
"MISO-N",1980-01-01,270.307445695345,274.23904776514,267.420817577946
"ERCOT",1980-01-01,279.550884484851,287.926642873042,273.994362037943
"California",1980-01-01,283.967529530237,286.927221215972,281.721567160392
"Great Basin",1980-01-01,270.349666423256,273.494472334574,268.443597715854
"PJM",1980-01-01,273.514957232387,278.182349510291,270.375272738132
"SERC",1980-01-01,277.219262743354,280.375522034418,274.666592162667
"MISO-S",1980-01-01,277.395800557943,283.550117369872,272.50613814272
"Rocky Mtn",1980-01-01,269.49761370947,273.970212294247,267.036943087792
"NYISO",1980-01-01,270.086978703674,275.270671212275,267.190157980186
"ISONE",1980-01-01,268.953086888843,274.758761170481,265.387719496235
"Florida",1980-01-01,283.347627048545,286.608341642239,280.667150761224
"Maritimes",1980-01-01,262.026032204837,267.918350872334,258.4136914982
"SPP-N",1980-01-02,267.341271667204,271.312608343543,264.424351692034
"Pacific Northwest",1980-01-02,273.833314177319,275.925154313831,272.064016951277
"Southwest",1980-01-02,280.159062611968,285.267691853998,275.493545229966
"SPP-S",1980-01-02,275.253018704534,279.802252292845,272.107424926822
"MISO-N",1980-01-02,269.28476931473,272.678190468567,266.456714075886
"ERCOT",1980-01-02,281.475924292641,289.061601669791,276.754784068798
"California",1980-01-02,281.979859354108,287.235141433736,278.638040230358
"Great Basin",1980-01-02,269.426319590389,271.849649807035,267.250962062306
"PJM",1980-01-02,272.366157667911,276.308656700185,269.358811969661
"SERC",1980-01-02,276.58779430935,283.072032532036,272.403696838603
"MISO-S",1980-01-02,279.057072659912,285.535812270488,274.640429170549
"Rocky Mtn",1980-01-02,268.788268304592,271.235362564819,266.530232040856
"NYISO",1980-01-02,270.498317806116,273.180009842429,267.968123485692
"ISONE",1980-01-02,270.323642032799,274.333371140715,267.442276086555
"Florida",1980-01-02,281.717670882843,288.828302897619,275.954303645082
"Maritimes",1980-01-02,263.755091041263,267.603713652728,261.154101356965
"SPP-N",1980-01-03,264.07130536789,268.345423139937,261.484877131641
"Pacific Northwest",1980-01-03,273.071058555664,275.085326036172,270.887680457929
"Southwest",1980-01-03,278.485918613797,284.805111728078,273.794097069244
"SPP-S",1980-01-03,273.270586266732,276.631245289487,270.546432139009
"MISO-N",1980-01-03,267.274633020354,270.855792434819,264.462928981945
"ERCOT",1980-01-03,281.711614648589,285.964006068434,278.315935128224
"California",1980-01-03,282.249420967791,286.948669492106,279.447566326704
"Great Basin",1980-01-03,267.522641280405,271.541345363359,265.165690361953
"PJM",1980-01-03,271.847325595519,276.005556804004,268.96524807267
"SERC",1980-01-03,277.210297876675,282.519535785779,273.269019430836
"MISO-S",1980-01-03,278.868702891214,282.611145448011,276.271103513719
"Rocky Mtn",1980-01-03,266.162730484599,270.814950581959,263.300854538991
"NYISO",1980-01-03,266.46766871219,269.864427359193,263.384560018121
"ISONE",1980-01-03,266.237053629058,269.339503399493,263.182796917694
"Florida",1980-01-03,283.245959969486,290.346797894421,277.918026553402
"Maritimes",1980-01-03,258.915813544263,261.71369842149,255.832324840764
"SPP-N",1980-01-04,266.976533788902,271.450161008786,264.058005037079
"Pacific Northwest",1980-01-04,271.45562302944,273.81422318775,269.978884494113
"Southwest",1980-01-04,278.936296388964,285.638354534393,274.429918194229
"SPP-S",1980-01-04,271.625301613028,276.172626999063,268.532566038415
"MISO-N",1980-01-04,267.613522076231,271.066852858151,265.084751105014
